gene	Adipo	Bcell	CLC	Endo	Fib	LEC	Myeloid	Neural-like	Plasma	PSC	Tcell	unknown_1	ZF	ZG	ZR
ADIPOQ	3.6033553577232884	-0.22115152448808936	-0.1965982777782833	-0.3057926212412567	-0.2588810541877814	-0.32270151483085446	-0.2480353550137131	-0.029950851239951788	-0.20736965193513965	-0.3297161602375747	-0.22138497986122962	-0.27274042236532775	-0.32998750240806723	-0.327059479010629	-0.3319859631253906
FABP4	3.5349392299768505	-0.159552218406737	-0.4572292826863972	-0.038154666401886715	0.0010703031695738837	0.19254378197634256	-0.2615369545426144	-0.06238719174295726	-0.2808095578013704	-0.43050091997475226	-0.24169081711706517	-0.30109825524572353	-0.5002509233178087	-0.49685879397066096	-0.49848373391479356
MCAM	3.428369619083229	-0.45293356093435194	-0.0797520657155354	0.44901975041695574	0.4105213776645709	-0.6051591436429148	-0.48170143152722783	-0.1333983684160372	-0.4272671043319299	-0.1328204865318414	-0.37269666286791797	-0.5214504664469894	-0.25465450825458497	-0.2875101924925591	-0.5385667560028661
AIFM2	3.2166940775389654	-0.06092333235181028	0.4093380843169116	-0.9011815960055087	-0.268887944050111	-1.1264707874319322	-0.5489353628934399	-0.3413206201476455	-0.03410862778390567	-0.04961755888120998	-0.1684896786293962	-0.7377677474749987	0.1447443371344566	-0.08601910964976713	0.5529458663093914
CYB5A	2.3597673541231257	-0.6355677520456027	0.278808370848656	-0.2037458309058714	0.217111328687336	-0.2788637083297689	-0.39048247958890575	-0.6368663275763892	-0.9714140423780122	0.7935316871293504	-0.7443801076072907	-0.5423721468466375	-0.6136838664596383	-0.6371299954132968	2.005287516362946
CD79B	-0.25839810897093796	3.5876975852995066	-0.2899042117800389	-0.10528078277585759	-0.27680221723728377	-0.3872864928070622	-0.27752957408703105	-0.029512037114078408	-0.039582236475132745	-0.3451908165219467	-0.13795224232431472	-0.3075303157457576	-0.3771948108150342	-0.37647676485023657	-0.3790569737947944
MS4A1	-0.17439233467952794	3.5680292143100947	-0.3651633365798515	-0.3348271521749152	-0.27230368612162786	-0.3827833141311225	-0.24679493736338812	0.1961331102724429	-0.09567231745110252	-0.38117746048809875	-0.09672867631875871	-0.2697393376856044	-0.38180509900085297	-0.381636425931418	-0.3811382466562691
CD79A	-0.18182579642655494	3.502959640113176	-0.4164315813497064	-0.37536706277355203	-0.29539592774103607	-0.42680797340297955	-0.29505879333840507	0.18949811829198215	0.40386037675449377	-0.42592174391116566	-0.09955314580933494	-0.3040948821933399	-0.4251910501133223	-0.4254931493823607	-0.4251770287178938
CD19	-0.2660326370590953	3.4961721910404817	-0.4288494657957888	-0.37643767017194996	-0.3367016773657313	-0.3839545121990517	-0.21526884260554036	0.10078423808052707	0.5179516889217471	-0.3885422284920521	-0.16452499792596834	-0.2914707341266977	-0.4184302352708784	-0.4217241700774814	-0.4229709469525209
STRIP1	-1.046118059531461	1.887515651788695	-0.7736763510058252	-0.40745320416590936	-0.03969147369442358	-0.42916599029424307	0.2182959125849379	-1.270337013122388	-0.9817528162188299	-0.025953571783597678	0.5154882567332696	-1.1100320776560275	1.5787512054200314	0.9677690239861001	0.9163605069596753
TH	-0.30401452359792663	-0.24938029304801554	3.6117211414702384	-0.1959736152084463	-0.28872561601497687	-0.30401452359792663	-0.27013117116697766	-0.2219126560275112	-0.30401452359792663	-0.16246792316813097	-0.29658743419119643	-0.2667528735133595	-0.2501103028578739	-0.2568281250361692	-0.2408075604438006
CHGA	-0.32038789961686487	-0.22112186266051334	3.6099658258096134	-0.2572996626630477	-0.29422037542660645	-0.38173632193299606	-0.2388729564725182	-0.2620455706133669	-0.22268797538544066	-0.24459956041098052	-0.30155377936464584	-0.17116015782005667	-0.2592853299024482	-0.23865871890645407	-0.19633565463367358
CHGB	-0.7309687200019658	-0.6659257293166396	3.036187317807254	-0.19218678381430304	-0.5612970914677595	-0.3008688448795873	-0.40447598265669876	-0.2650561432203707	-0.7917069922683049	-0.28718824054344144	-0.6697082727793175	-0.41652723769584205	0.7868303456343357	0.962764363933604	0.5001280112690365
HBB	-0.2733581297154277	-0.23091579535286944	2.798523381465168	-0.12408661605291982	-0.7083035237981504	-1.1821687399305896	0.5777991417780864	0.9754576759749306	-0.0647488666144876	-0.627655321068026	0.21551958197292057	-0.24806016550472124	-0.6764237950193457	-1.160096260251355	0.7285174321167865
SYT1	-0.7387661372625953	-0.046416576482679286	2.437527451858105	-0.6881450503764268	1.229604276327449	-0.42798805449254645	0.48614387327041886	1.4632585911111995	-0.6066561665296804	-0.42782661127877686	-0.6604671738295522	0.3411836425218981	-0.7653644203631268	-0.7735150014754406	-0.8225726429982451
PLVAP	-0.4472355873211185	-0.3379824124686063	0.2583053625809125	3.5454246598897643	-0.28189513534336613	-0.321241641862422	-0.24976997325362427	0.14473797888387332	-0.4497145095651331	-0.2818292701319292	-0.3429815169462153	-0.34475983736756227	-0.2891604283915557	-0.29483959275405447	-0.30705809594896305
ID1	-0.3600008115390242	-0.5111739301655365	-0.31342021152535776	3.369343841672097	0.43785808909408136	0.7314837021385705	-0.41188300320475124	-0.5030052621777347	-0.5138534559859519	-0.021898244029652292	-0.4950286583160465	-0.3988676929563118	-0.33119407198663536	-0.3548468255090368	-0.32351346550871096
EMCN	-0.5778750398806995	-0.4419663541092538	0.15157921904942903	3.3631375041944804	-0.2809077553212855	0.28573727447301434	-0.42169189477944535	0.2730001530061502	-0.5585025653087212	0.5546360940508093	-0.48284360966776096	-0.49687555714297577	-0.44770411308706304	-0.43542939866985186	-0.4842939568068251
CD34	-0.5585945293414493	-0.5307589384585403	-0.06280348741655882	3.3082928238109233	0.4435505528675884	0.8221730905686548	-0.463922682347088	-0.36932912644131133	-0.4833507473068294	0.09781554702166702	-0.5429363054974079	-0.4828464950205788	-0.38577867840627234	-0.3964756681074162	-0.3950353559253822
ENG	-0.7506971744548493	-0.6055439835340682	-0.04560913228053866	2.914930029091995	0.2232097891052527	0.6482901375406759	0.16261220149202968	-0.2614244170902629	-0.9160492390085742	1.2677851888521905	-0.5032580033983897	-0.1817019553077203	-0.6453447084396841	-0.6188068765890926	-0.6883918559789639
KDR	-0.4857520313464465	-0.4606170034971706	-0.2574472153646494	2.912921390847684	0.03579129301557786	1.8765186606281323	-0.4014201634039037	-0.3150667065443335	-0.47865478297969705	-0.35874561617400047	-0.46157936690306867	-0.4373900128653944	-0.38791002657269424	-0.3824551135046117	-0.3981933053354238
CDH5	-0.46599408209807475	-0.4708813116963254	-0.15363286995421918	2.5382477343680296	-0.06242725395981106	2.349405885622195	-0.43137618613841416	-0.30947348206078057	-0.47961003563415494	-0.36964740194108453	-0.4675584440950115	-0.4450291751842503	-0.4137755713770571	-0.41409610966158594	-0.4041516961894543
PECAM1	-0.9989407898426088	-0.22841688607858843	-0.3103447555303188	2.498990086760722	-0.8845747611055008	0.8583258180498801	0.7774270589254958	-0.12572721115284458	1.2676591287772783	-0.8928866077786384	-0.6215089203056193	0.5838341161547735	-0.6984512209527158	-0.38984541442415	-0.8355396414971655
KIT	-0.6922069969392199	-0.0969409821839013	1.12535998541277	2.241614029100903	-0.472019720708956	-0.08243916281381122	0.4033769588529493	1.8905907055454798	-0.3560771740836889	-0.7978697791070468	-0.012838760636588063	-0.7653968618144303	-0.800360984587009	-0.729967062529438	-0.8548241935080136
KLF5	-0.4351222074038976	-0.40270921924894043	0.1776473285232804	-0.36235364538220594	3.48109498031169	-0.3077886853033719	-0.35002384846425955	-0.09228685547037171	-0.34863016398312174	0.5427746261854318	-0.3962790487081133	-0.39700184800549093	-0.3729282084435992	-0.3477301128488315	-0.3886630917581988
POSTN	-0.39308674699282464	-0.28596194640118955	0.06337631641127482	0.5512330074183719	3.4550184771166874	-0.3629048497258913	-0.33184312904964386	0.1846297668456675	-0.4639252545395583	-0.2076746187029027	-0.3995522490996717	-0.504367242186814	-0.4242369231926573	-0.40434817688940256	-0.47635643101144576
MFAP5	-0.5516371397985603	-0.28515207911145923	0.47535564405888636	-0.30175839167211793	3.4284260951173504	-0.2648487468695785	-0.35543071364797896	0.519490337982803	-0.5205470297790888	-0.2684788215122192	-0.45835283787416947	-0.4334061588553568	-0.33332539667530514	-0.2434351676092692	-0.4068995937539365
COL1A1	-0.14178128371503618	0.1494585336194648	-0.5184685547886653	-0.5558193250333033	3.2215975827983474	-0.5844826736028422	-0.25978058583770264	0.5281214184532346	-0.29092627582934527	0.8951132793062297	-0.11406796317501104	-0.3735500299311474	-0.6422101403118324	-0.6553642470401125	-0.6578397349122779
EMILIN3	-0.49362822574396004	-0.48538562493883347	0.21724692767916962	-0.127495407785821	3.164596248170517	-0.7388166995195876	-0.34908477502962143	0.5891361731998451	-0.7388166995195876	0.9419535745735698	-0.55942969097905	-0.6953969897352991	-0.310452261842896	-0.11805322284996914	-0.29637332567847524
TNC	-0.21651065825574783	0.343665985316114	0.3294296536026859	-0.5177523403421214	3.1136195716233144	-0.8017549675773081	-0.20454046262579442	0.9746232734171019	-0.3458157239968906	0.20222527930309153	-0.15749516106749586	-0.41352529356161233	-0.7583143716709767	-0.7745894295261228	-0.7732653546382375
COL1A2	-0.14444452948787304	-0.04208723240003784	-0.4830994603462337	-0.4893179551447725	3.109686841058506	-0.5158536676546764	-0.3321592502686658	0.023041082913462133	-0.2933536579458035	1.4889050349174024	-0.24179713823379206	-0.4154468271581037	-0.5479473759454871	-0.5714436057891502	-0.5446822585147753
THY1	-0.4356766957998028	-0.35419338717215954	-0.012593942508266886	1.759523942680293	2.949183082654199	-0.6456903373530704	-0.4273160495216366	-0.08471571551589488	-0.3944000499830055	0.0046017573553918225	-0.37420879968801474	-0.4556953046044764	-0.524973976105943	-0.5298911856726999	-0.47395333876491463
COL3A1	0.15382235085456206	-0.19051767765366506	-0.5029475775622271	-0.40911094393062475	2.831300803075027	-0.49348060152100864	-0.3958550172170168	-0.0844620697768184	-0.3988929028366114	1.9256611298690411	-0.31988877676112537	-0.45482128713952585	-0.5445871653980647	-0.563798007101461	-0.5524222569004812
MGP	-0.9801719843409337	-0.9436144023151924	0.3267708594007352	1.0190702354412313	2.055445133725002	0.132511484573449	-0.538482941304068	-0.9228632735927184	-0.9933189066683842	1.8624362050412884	-0.8944977076682163	-0.48294372354236775	0.08651811331576476	-0.07081408182306421	0.34395498975747385
CCL21	-0.3052349528334041	-0.3059348294787384	-0.22689714685938078	-0.18535235116991572	-0.2621735166931372	3.6121242112611447	-0.26817061864378544	-0.30551069531271585	-0.29050760135655995	-0.21283563503649444	-0.29575800041978395	-0.2657332074439457	-0.23392546432215908	-0.2134716297525957	-0.2406185619385286
PDPN	-0.4893973588410692	-0.2817315305785425	0.20195766074109095	-0.36975207278529293	0.49003866462388096	3.4455997218370347	-0.3482860916020954	0.24499632213385122	-0.4593551513911681	-0.3506413967064712	-0.3376329852241968	-0.4294650808192044	-0.4349262438168406	-0.4416412021364587	-0.43976325543451755
PROX1	-0.6317315920153549	-0.5829412020505146	-0.11927726654676205	-0.42661230934470196	-0.5141543657389953	3.0070888661220394	-0.44616111068374226	-0.5152220098683027	-0.5976292740123856	-0.398003456648645	-0.5965146034766259	-0.5376634883546811	0.5986713317193793	0.5443174524235411	1.215833028475752
EFNA5	1.7475455473242725	-0.5180671019514481	0.005595768980980601	-0.45504839770634226	0.7014496400862212	2.7671845672432878	-0.5542378243938667	-0.1436905500172848	-0.6212120786817139	-0.3857599421040427	-0.5514408402493236	-0.6065859948832644	-0.5774253780665524	-0.15258576596849496	-0.6557216496124285
NT5E	-0.7688366037226341	1.0922304157469214	0.281229865094709	1.464438029015119	0.9050305326104515	2.297023667155707	-0.6651364896747339	0.18529527507571522	-0.8234433190643924	-0.6884380247210203	-0.3622830998609411	-0.7179179300221379	-0.7474054621483321	-0.7929630279360547	-0.6588238275483763
ALAS2	-0.35585017787005463	-0.20617197538977036	-0.28306278754497827	-0.39146097396206647	-0.37759548268443804	-0.29679710128844444	3.3415104203695143	0.7750838049025542	0.4070159565630799	-0.5465978771997028	0.0029284027147097797	-0.2952942363642829	-0.5912495047296138	-0.5855113086047521	-0.5969471589117538
CD33	-0.38560963098896944	-0.32534367308354367	-0.32274938681438403	-0.4223953274178192	-0.3801715755793619	-0.5007013488840459	3.0231222314820743	0.06705601672707864	-0.39696323075314116	-0.40171379158269266	-0.3322072739740678	1.704739619693796	-0.41212309816772363	-0.4543326591287188	-0.46060687152848073
CSF3R	-0.37510461699412245	-0.3896138949795296	-0.14337687227024792	-0.4421052134052548	-0.42442462215701415	-0.5034003899157518	2.990821720421974	0.26303798352425367	-0.4018734560542276	-0.4311841311306762	-0.39418102718336423	1.68880019152743	-0.47233034285506864	-0.49006724062756907	-0.4749980879008308
CD68	-0.7971968950231587	0.28611291891457147	-0.1073062974564602	-0.529611325001224	-0.1610573080383881	-0.4138214512413029	2.7309388101645498	0.2644815103077613	-0.6898762747034944	-0.5870348108262532	-0.3077288909599475	1.8763233990374972	-0.5132947239672274	-0.6089092113968688	-0.4420194498100547
GYPA	-0.5346399905509931	0.18768570166773943	0.8591313962910078	-0.44585000783227857	-0.22258269968573077	-0.7106064637552718	2.65931361992127	1.7714838308203105	-0.7106064637552718	-0.4824478438078524	-0.17418772373529534	-0.5709509041119134	-0.5544761297787941	-0.5028965986178036	-0.5683697230691229
C1QA	-0.3527436636054425	-0.28509737644650696	-0.17976743127930728	-0.3956286657073806	-0.4879136848899701	-0.5896025683096225	2.6272014862755593	0.12135023000138646	-0.358217764624514	-0.4201258182990709	-0.3924864812647351	2.2096395542091023	-0.5065018013154777	-0.5809926386089103	-0.4091133761351099
CSF1R	-0.5467720137251951	-0.4025949747553313	0.0021344839325280747	-0.457551567069822	-0.3821542078044539	-0.473901542686441	2.5981357325856833	-0.15068536955997788	-0.5475315176077116	-0.02237714824676578	-0.45867905034343565	2.241129510082999	-0.46289106072868685	-0.4626712403593287	-0.4735900337140603
CD4	-0.3213750746561728	-0.22700447260833637	-0.06743403235227827	-0.5367208904595386	-0.2519557106669814	-0.7842363811835232	2.4471865160191006	0.477315909420343	-0.5404513549313479	-0.6177226740669983	0.8314297714002397	1.8820662669246315	-0.7696005148764189	-0.7430041032203534	-0.7784932547423654
ICAM1	-0.9682835041825179	-0.5694791760463586	0.3106595144169727	1.2027783933742067	-0.5753094125326397	-0.655910837649601	1.867141102502679	0.32155906166087916	0.02808135060744178	1.4272364328336435	-0.6577494471376959	1.213939340112952	-0.9032963413676868	-1.004699310792568	-1.036667165799706
S100A8	-0.21793906739679092	-0.03821735182023569	-0.3840518993527089	-0.47357349597251697	-0.4705302667614765	-0.5881756955279648	0.581119772245756	3.4124273033416608	0.21920851086907217	-0.517117023705322	-0.11518516971021646	0.036030091972151235	-0.4871320963341992	-0.5255739579396421	-0.4312896539075661
MPO	0.28832217676936467	0.13025784183561456	-0.31183425133002096	-0.5775923500826259	-0.33993377761556776	-0.5810332370765947	0.7017884973155523	3.1485322025237927	0.4539622024618343	-0.7510274246123959	0.28924482267051355	-0.17629312243307596	-0.733128474760652	-0.7661135329049434	-0.7751515727607955
FAP	-0.5872123995396717	-0.13064450454144075	2.194657808409612	0.4051039382698764	0.07113786254881693	-0.5603916679132198	-0.11108596735670341	2.4795359297475454	-0.4463252555892695	-0.5354937151712492	-0.24489484504977752	-0.6466673234872943	-0.6868863524244219	-0.4979026201042695	-0.7029308877985327
SLC4A1	0.05032748413395791	0.10215093268714727	0.6036155348979446	-0.6008820740542044	-0.4634918903367843	-0.6711760547113201	2.0522061801222513	2.284538807265495	0.4000004315092987	-0.8412552157802347	0.04559342021861381	-0.46264745075610314	-0.8408551797526839	-0.8358771341592376	-0.8222477912841397
MZB1	-0.2602559842636615	0.174723138378054	-0.2834519914820665	-0.3071438028409205	-0.29235212218528794	-0.32447399595119164	-0.27744308206926177	-0.19403323756429502	3.586816851086752	-0.31439524184298245	-0.25603426475714913	-0.30199559071828047	-0.31736547620590116	-0.31346560606402163	-0.3191295935197862
SDC1	-0.38606257126669846	-0.3676242392038121	-0.05302785145318077	-0.31726975790747886	-0.31640232717433764	-0.2584590164451728	-0.3267041314789782	-0.21671847739106695	3.579357856003413	-0.32526173713931666	-0.37212804981478476	-0.3759250122942691	-0.14280461883791926	-0.24298883667471388	0.12201877107831566
IGHG1	0.1655410252471038	0.344417416808292	-0.4770077561042016	-0.4074834792386577	-0.24216888101826567	-0.4860150818049825	-0.22047934199421698	0.23616784896897625	3.467731995293794	-0.48281089243479614	-0.2035099881437969	-0.24256588598816578	-0.4835485600242529	-0.4800319244064739	-0.4882364951603555
CD38	-0.5833653649706906	-0.2849376500310542	-0.30369792936917106	-0.1442058732067497	-0.5565806735870317	-0.3867816814635051	0.4303174101595238	-0.1642767124062854	3.3055322509556557	0.6238691409816151	-0.41840438071268976	0.35920868507247494	-0.6203334854281672	-0.6337797324743313	-0.6225640035195925
IGHA1	0.34503043097089453	0.8986182615069518	-0.6268462909191844	-0.4997875061742345	-0.21556260827955762	-0.6327815019888494	-0.18813091109957622	0.5923940505770182	3.156960868631464	-0.6246614156817086	-0.12184133038358082	-0.19573474488436443	-0.6296375921655131	-0.6286381234220553	-0.6293815866877042
LUM	-0.5081214771358799	-0.510011050798366	0.15680965516122433	-0.2932242462472404	0.9461631300800109	-0.06713519960051831	-0.3516971119414773	-0.4735037567252771	-0.52514066346157	3.3463242750694735	-0.5197678950896729	-0.404811783774562	-0.24529990057863352	-0.32040064915221367	-0.23018332580529752
TAGLN	0.320790256142075	-0.249625097272178	-0.3824305012097326	-0.5247524838958271	1.925205483652495	-0.29679433838165015	-0.10397092982256463	-0.5822724950242121	-0.6710304160726596	2.790569066072003	-0.49621127858364267	-0.2666693809090579	-0.4912165058147096	-0.5034611304493107	-0.46813024843102863
NES	-0.5330153559774415	-0.535738384141224	-0.3935746607740311	2.3426498741014514	-0.12823933261646875	0.06881418383086328	-0.4439846293094136	-0.42948833046829304	-0.3603056525087886	2.5203305685870765	-0.5070302128200013	-0.4465105747074505	-0.3733244217483694	-0.36976698201412633	-0.4108160894337831
NR2F2	-0.6534318769689029	-0.7420820650716391	-0.35212980486592216	1.2599626084158826	1.42397054505057	1.220324431056182	-0.6257817061475679	-0.6781642020837982	-0.7592089365946962	2.24616855008794	-0.7357529329399125	-0.6908363555269867	-0.2432737787714311	-0.23815171851853773	-0.43161275712117936
CD3D	-0.2632667908649182	0.12898174142298158	-0.2493409639174718	-0.428308396314801	-0.2259798113629827	-0.4907703456407507	-0.19655364655584417	0.27938376514829766	0.09635018148685162	-0.4794016928453137	3.5058495901016546	-0.2778159839441488	-0.4650768386289211	-0.4708948524623431	-0.46315595562229056
CD3E	-0.06737523127073687	0.17870697553641188	-0.37526532380630284	-0.3846955391791653	-0.2945697120716343	-0.5135162389666712	-0.1587618777863575	0.5751187753697582	-0.19075568555389805	-0.47584160994191965	3.4509564553739778	-0.2717909804413225	-0.4911139961317481	-0.4937944984596019	-0.48730151267078964
CD3G	-0.22352669822949786	0.10307398357250583	-0.09441258395831861	-0.40903538384140786	-0.29818857265505405	-0.5492584675637496	-0.2510460249083934	0.6156269734218813	-0.04751353635747117	-0.508801568442445	3.4391925253237012	-0.2451997047028074	-0.5136548685766954	-0.5113616263390826	-0.5058944467431649
TRBC1	-0.12254496441743482	-0.022626924817780756	-0.5277473802964496	-0.4129440778002577	-0.23196275921350873	-0.3539191593957462	-0.20672979255023666	0.6976885266693924	0.020605894213173444	-0.4981226396016902	3.427849047645084	-0.2587034248028388	-0.4965562276666018	-0.5188710289025168	-0.4954150890625873
TRBC2	-0.07496347855707382	0.6551216580757504	-0.4862526467244367	-0.44858348226244804	-0.26832835916306014	-0.5811750459780796	-0.1729723915026774	0.5191876736727958	-0.016198134689546347	-0.5365848891005289	3.338541622360451	-0.2786472474460022	-0.5505161445807455	-0.5535744829209236	-0.5450546511834752
CD8A	-0.21680818907428678	0.11481386669200888	0.3016413026008318	-0.46154007223580423	-0.3306147629277622	-0.5354252028361096	-0.1888306187006834	1.0149187257084642	-0.23162063551715353	-0.6226467004439316	3.2547006954110462	-0.3553806095786748	-0.5753777897723572	-0.5694255817586855	-0.598404427566903
S100A4	-0.39408493287852575	1.104304406119771	-0.40389120973807713	-0.7540308282692381	-0.13370476764036715	-0.5503382136270659	1.0598229993111397	0.723955575998931	0.022986944762064226	-0.8240148716205659	2.7032467013004573	-0.165625824550872	-0.8050427754595867	-0.858751899335373	-0.72483130437269
LYVE1	-0.7734445170673372	-0.542823506451674	-0.28074236182121093	0.03784881400041674	-0.5141546213225255	0.6957504780218452	2.163107887682687	-0.31286304111147634	-0.7029041046432523	-0.37436123064597737	-0.7744694105035036	2.426005621625511	-0.35937802453478007	-0.4345545406770467	-0.25301744255167596
HSD3B2	-0.9633048914650594	-0.9746631513568925	0.981594557201349	-0.013678587379573826	-0.4952945332971861	0.34311670111751985	-0.37847413094597393	-0.9658071948998794	-0.9315076256298124	0.16071724688430658	-0.8442144256276313	-0.4140716747997107	2.388125348276578	1.1479574439379916	0.9595049179839742
CYP21A2	-0.9518485914075993	-0.9663959757656924	0.8229398868303659	-0.10395681298322668	-0.4921485940558907	0.12760177606323278	-0.40504804873445516	-0.9640421357220401	-0.8706989377456331	0.07714290875486367	-0.8367399589293921	-0.4449926142573639	1.8927095361928783	1.4518545843376471	1.6636229774223048
CYP11B2	-0.46749678064905537	-0.4665211579267691	-0.09591697946810566	-0.20358749798153225	-0.28441396503666494	-0.062243721523183505	-0.33728761711096383	-0.4581502486276593	-0.4469532937505841	-0.1723943436083698	-0.4510504655229758	-0.3934021961820632	0.17009189161034521	3.531147569950962	0.1381788058266197
VSNL1	-0.5670890199808513	-0.4974539543246461	0.15723404497544355	-0.2371358580438903	-0.2855156187509199	-0.1509490665205549	-0.33712693778186636	-0.23733590413506442	-0.546171475296298	-0.1884260000727999	-0.5181300796446496	-0.45902938725805376	0.6887825904356832	3.4245706110862564	-0.24622394468778785
DACH1	-0.825832981029379	-0.7516166297042698	0.3848005163073681	-0.1366922328610516	-0.26535302163750873	-0.1630499725499692	-0.4386652068035356	-0.391699465193503	-0.797633294424989	1.1427297040365272	-0.7184572013339672	-0.5659678308413956	0.877820275417556	2.9191907018251433	-0.2695733612070257
NCAM1	-0.8663522004341095	-0.8077701066063085	0.6331957167091179	-0.31720087006583103	-0.4136603437698576	0.15183210175927178	-0.41821597935173815	-0.36683580476702227	-0.784682517017521	-0.09207670771733331	-0.6666709550762676	-0.6062223331414165	2.170677497906674	2.332618182760776	0.0513643188115665
SULT2A1	-0.9310492576656232	-0.9105845811423989	1.1708662474012406	-0.1470559115110421	-0.37016793158894296	0.23031621853137743	-0.4249073639686684	-0.7002583729424483	-0.8270769871367388	0.05585494458593956	-0.8156096876507498	-0.5740284942922629	0.6416908475081229	0.9438174577557513	2.658192872116444
CYP11A1	-0.8673172623776397	-0.8802577154185794	0.7836130405951037	-0.128841648705012	-0.4668953822062746	-0.02336867926813946	-0.35350293242471176	-0.8167496626228192	-0.8444881443937365	0.06899650154430607	-0.7762544415719096	-0.43320413220672666	1.4478007162935356	0.6929229934531073	2.5975467493094966
ABCB1	-0.8893333552965553	-0.7452459594593093	0.5731398335093335	-0.2898781017348027	-0.6180828173863264	0.025586377687067816	-0.520700078968758	-0.46521261857149065	-0.8497183340334015	-0.23921204353878758	-0.523604000329573	-0.6510231902725657	1.6040277939929342	1.131521382415343	2.4577351119868913
NR5A1	-0.7743513398938109	-0.771517063234507	0.28229973505313977	-0.2523774308415704	-0.5743463644451444	-0.225981325024279	-0.39809576031553917	-0.7055488221889744	-0.7037133887189034	-0.2071135959862131	-0.6923505923456038	-0.48862477499972423	1.9728796110722948	1.4420301321525526	2.096810979716283
CYP11B1	-1.0057615996213742	-1.0209573856481615	0.7154364367580955	0.012321477174529846	-0.45501615943820667	0.40009488049402686	-0.34395955843725257	-1.0144688743501171	-0.9127323579579919	0.29086487652586734	-0.8638073698607565	-0.391002576254142	1.8465723495527864	0.6883694160187473	2.05404644504395
CYP17A1	-1.117712904256864	-1.1413410919268396	1.3043089782050776	0.24686360990126172	-0.3925604459788853	0.5183579784669178	-0.31308201934734026	-1.1235596079174697	-1.0196980583563784	0.491848826894191	-0.9425232408937924	-0.30939766941936403	1.3400444558680944	0.5892244465757248	1.8692267421856679
